destination_name,country,continent,category,cost,best_season,rating
Serene Pagoda,Brazil,South America,City,119.93,Autumn,4.6
Grand Falls,Greece,Europe,City,219.87,Spring,4.5
Grand Park,Egypt,Africa,Adventure,156.26,Spring,4.4
Serene Pagoda,Germany,Europe,Historical,210.31,Spring,4.6
Crystal Pagoda,Peru,South America,City,114.9,Autumn,4.3
Grand Falls,South Africa,Africa,City,207.47,Spring,4.4
Sacred Ruins,Greece,Europe,Nature,87.81,Winter,4.3
Lush Temple,Kenya,Africa,Nature,190.15,Summer,4.3
Grand Pagoda,India,Asia,Historical,116.33,Summer,4.6
Mystic Plaza,Germany,Europe,Religious,261.13,Spring,4.1
Lush Park,China,Asia,Beach,181.69,Autumn,4.6
Hidden Forest,China,Asia,Nature,211.23,Autumn,5
Serene Falls,Egypt,Africa,Religious,122.13,Summer,4.1
Grand Falls,USA,North America,Religious,165.72,Summer,4.5
Serene Forest,Thailand,Asia,Beach,109.82,Summer,5
Grand Pagoda,Australia,Oceania,Nature,198.82,Winter,4.8
Golden Pagoda,Kenya,Africa,Nature,178.45,Winter,5
Ancient Valley,Greece,Europe,Historical,94.96,Autumn,4.3
Serene Forest,Germany,Europe,Historical,151.7,Spring,4.3
Lush Falls,Vietnam,Asia,Historical,118.91,Autumn,4.7
Ancient Beach,Spain,Europe,Historical,166.54,Summer,4.8
Mystic Temple,Peru,South America,Religious,91.37,Summer,4.1
Grand Pagoda,Australia,Oceania,City,233.63,Winter,4.6
Grand Plaza,Mexico,North America,Adventure,154.82,Winter,4.3
Grand Plaza,France,Europe,Religious,176.94,Winter,4.2
Ancient Park,France,Europe,Religious,104.25,Winter,4.5
Serene Pagoda,Greece,Europe,Nature,113.22,Winter,4.9
Hidden Park,Greece,Europe,Historical,123.3,Autumn,4.1
Hidden Falls,China,Asia,Nature,210.65,Autumn,4.5
Crystal Park,India,Asia,Nature,112.54,Winter,4.6
Serene Canyon,South Africa,Africa,Beach,156.68,Winter,4.5
Sacred Plaza,Greece,Europe,City,96.47,Spring,4.2
Grand Ruins,Thailand,Asia,Nature,58.19,Winter,4.7
Lush Canyon,Vietnam,Asia,Religious,257.79,Winter,4.2
Golden Falls,Germany,Europe,City,149.7,Spring,4.8
Grand Forest,France,Europe,Adventure,130.76,Winter,4.6
Lush Plaza,Australia,Oceania,Religious,154.09,Autumn,4.5
Golden Temple,India,Asia,Adventure,178.42,Winter,4.7
Crystal Ruins,Argentina,South America,Beach,141.25,Spring,4.3
Ancient Park,India,Asia,Nature,98.17,Autumn,4.9
Golden Pagoda,Greece,Europe,Historical,204.29,Spring,4.6
Serene Canyon,New Zealand,Oceania,City,273.24,Autumn,4.4
Ancient Pagoda,Italy,Europe,Adventure,150.52,Spring,4.1
Hidden Park,Greece,Europe,City,131.41,Winter,4.2
Serene Temple,Morocco,Africa,Adventure,152.83,Winter,4.7
Sacred Ruins,Italy,Europe,Nature,59.88,Spring,4.3
Crystal Forest,Peru,South America,Religious,103.03,Spring,4.5
Grand Beach,Kenya,Africa,Beach,177.01,Winter,4.1
Mystic Temple,Brazil,South America,Religious,139.33,Winter,4.9
Grand Pagoda,Germany,Europe,Religious,121.82,Spring,4.4
Grand Pagoda,Germany,Europe,Nature,119.33,Spring,4.4
Crystal Falls,Spain,Europe,Religious,150.78,Summer,4.3
Ancient Pagoda,India,Asia,Adventure,171.85,Spring,4.9
Sacred Plaza,Morocco,Africa,Religious,174.98,Spring,5
Hidden Canyon,Canada,North America,Adventure,81.66,Winter,4.4
Lush Falls,Peru,South America,Nature,210.39,Winter,4.4
Lush Beach,Kenya,Africa,Beach,121.17,Summer,3.7
Grand Temple,Greece,Europe,City,193.16,Autumn,4.3
Crystal Valley,Germany,Europe,Religious,76.05,Spring,4.6
Mystic Beach,Morocco,Africa,Historical,100.29,Spring,4.5
Serene Plaza,China,Asia,Religious,209.83,Spring,4.5
Lush Valley,Morocco,Africa,Beach,90.35,Summer,4.5
Lush Beach,Germany,Europe,Nature,141.35,Winter,5
Grand Ruins,France,Europe,Religious,106.26,Spring,3.8
Ancient Valley,Vietnam,Asia,Beach,116.55,Winter,4.8
Mystic Ruins,Peru,South America,Historical,70.04,Spring,4.4
Mystic Pagoda,Spain,Europe,Nature,257.87,Summer,4.3
Mystic Plaza,Japan,Asia,Religious,163.83,Winter,4.7
Ancient Valley,Egypt,Africa,Religious,151.6,Autumn,4.3
Grand Falls,Germany,Europe,Beach,154.43,Autumn,5
Serene Forest,Germany,Europe,City,131.73,Spring,4.6
Golden Canyon,Egypt,Africa,Nature,109.88,Spring,4.9
Crystal Beach,Canada,North America,Nature,210.02,Winter,4.3
Lush Park,Mexico,North America,Adventure,127.43,Autumn,4.4
Hidden Ruins,Spain,Europe,Nature,209.29,Summer,4.7
Mystic Pagoda,China,Asia,Nature,180.36,Autumn,4.9
Serene Beach,Spain,Europe,Beach,133.87,Summer,4.4
Sacred Plaza,Italy,Europe,Adventure,182.08,Spring,4.9
Sacred Forest,Thailand,Asia,Religious,117.82,Autumn,4.8
Ancient Forest,Egypt,Africa,City,222.78,Spring,5
Ancient Canyon,Canada,North America,City,176.91,Spring,4.8
Ancient Plaza,Thailand,Asia,Religious,177.84,Winter,4.4
Mystic Valley,Greece,Europe,Adventure,97.76,Summer,3.9
Mystic Pagoda,France,Europe,Religious,178.97,Winter,4.5
Mystic Canyon,Japan,Asia,Nature,138.94,Spring,4.4
Crystal Forest,Greece,Europe,Beach,82.97,Spring,4.8
Sacred Falls,Spain,Europe,Historical,141.64,Summer,4.6
Crystal Valley,Italy,Europe,Adventure,210.69,Winter,4.5
Sacred Beach,South Africa,Africa,Religious,183.14,Summer,4.9
Hidden Plaza,Italy,Europe,Beach,166.31,Winter,4.5
Grand Temple,Germany,Europe,City,169.98,Summer,4.3
Hidden Canyon,Peru,South America,City,151.52,Autumn,4.1
Golden Ruins,Spain,Europe,Nature,165.44,Spring,5
Ancient Pagoda,Mexico,North America,Nature,55.04,Summer,4.5
Lush Beach,Argentina,South America,Historical,187.67,Spring,4.6
Crystal Park,Japan,Asia,City,118.88,Spring,4.6
Lush Temple,Mexico,North America,Adventure,139.55,Spring,4.2
Grand Beach,New Zealand,Oceania,City,163.03,Winter,4.1
Golden Falls,Mexico,North America,Nature,90.21,Spring,4.6
Crystal Valley,France,Europe,Religious,163.9,Autumn,4.9
Golden Ruins,Canada,North America,Nature,110.76,Winter,4.7
Sacred Plaza,Brazil,South America,Beach,77.51,Summer,4.2
Sacred Ruins,Japan,Asia,Adventure,186.12,Summer,4.4
Golden Plaza,Morocco,Africa,Adventure,109.14,Summer,3.9
Hidden Plaza,Kenya,Africa,City,161.23,Winter,4.8
Ancient Temple,Peru,South America,Historical,234.05,Autumn,4.3
Mystic Pagoda,Germany,Europe,Nature,73.72,Summer,4.9
Hidden Temple,India,Asia,Historical,159.06,Autumn,4.2
Ancient Valley,India,Asia,Historical,121.79,Autumn,4.6
Golden Temple,USA,North America,Religious,243.07,Spring,5
Hidden Plaza,Peru,South America,City,201.2,Summer,4.7
Mystic Beach,Australia,Oceania,Beach,149.65,Spring,4.9
Ancient Ruins,China,Asia,Adventure,141.49,Winter,4.4
Serene Ruins,Greece,Europe,Beach,197.39,Summer,4.7
Ancient Park,Canada,North America,Adventure,92.92,Spring,4.4
Ancient Temple,South Africa,Africa,Historical,107.84,Summer,4.5
Hidden Valley,Morocco,Africa,Adventure,225.67,Winter,4.7
Grand Plaza,Italy,Europe,Adventure,159.49,Summer,4.7
Mystic Falls,Vietnam,Asia,Beach,211.05,Autumn,4.7
Mystic Beach,Canada,North America,City,207.37,Spring,4.4
Lush Plaza,Egypt,Africa,Nature,244.23,Winter,5
Grand Ruins,New Zealand,Oceania,Adventure,79.46,Summer,4.1
Sacred Beach,Thailand,Asia,City,157.04,Winter,4
Lush Falls,China,Asia,Religious,201.65,Spring,4.4
Mystic Beach,South Africa,Africa,Nature,175.68,Spring,4.3
Crystal Beach,Peru,South America,Nature,94.43,Winter,4.5
Serene Ruins,Vietnam,Asia,Nature,148.62,Spring,5
Golden Temple,Greece,Europe,City,195.01,Winter,4.7
Mystic Ruins,South Africa,Africa,Adventure,100.08,Spring,4.6
Hidden Park,Mexico,North America,Nature,167.67,Spring,4.5
Mystic Park,France,Europe,Religious,144.99,Spring,4.4
Golden Valley,Canada,North America,Adventure,167.75,Spring,4.4
Lush Beach,Italy,Europe,City,195.68,Winter,4.3
Hidden Ruins,Peru,South America,Nature,123.7,Winter,4.5
Mystic Valley,Peru,South America,Beach,30,Summer,4.8
Grand Park,Australia,Oceania,Historical,162.35,Summer,4.5
Mystic Plaza,Greece,Europe,Historical,71.87,Spring,4.3
Sacred Park,Morocco,Africa,Adventure,94.48,Spring,4.7
Crystal Ruins,Japan,Asia,City,173.32,Winter,4.5
Grand Park,USA,North America,Religious,109.58,Summer,4.4
Serene Park,Italy,Europe,City,113.27,Spring,4.3
Ancient Temple,Greece,Europe,Adventure,200.88,Winter,5
Ancient Falls,Japan,Asia,Historical,171.44,Winter,4.7
Ancient Falls,India,Asia,Beach,168.97,Spring,5
Lush Plaza,Brazil,South America,Beach,96.39,Summer,3.6
Hidden Forest,USA,North America,Adventure,127.58,Autumn,5
Serene Ruins,China,Asia,Beach,180.96,Autumn,5
Hidden Canyon,India,Asia,Beach,219.86,Summer,4.5
Grand Ruins,Greece,Europe,Beach,117.7,Spring,4.3
Lush Beach,Spain,Europe,Nature,208.1,Summer,4.3
Grand Ruins,Thailand,Asia,Religious,166.15,Winter,4.4
Serene Plaza,Italy,Europe,Beach,131.98,Spring,4.7
Crystal Temple,New Zealand,Oceania,Religious,194.16,Spring,4.5
Lush Ruins,Greece,Europe,Beach,101.33,Autumn,4.5
Crystal Park,Italy,Europe,Historical,128.68,Summer,4.8
Mystic Canyon,Vietnam,Asia,City,58.46,Summer,4.6
Grand Pagoda,Spain,Europe,Adventure,243.66,Summer,4.8
Sacred Plaza,Vietnam,Asia,Religious,188.27,Spring,4.4
Lush Beach,USA,North America,Historical,174.24,Autumn,4.2
Crystal Park,Brazil,South America,Adventure,191.69,Autumn,4.4
Hidden Forest,Italy,Europe,City,133.26,Summer,4.4
Grand Forest,Thailand,Asia,Nature,164.9,Winter,4.7
Serene Pagoda,Thailand,Asia,Nature,253.13,Autumn,4.2
Golden Forest,Argentina,South America,Beach,159.58,Autumn,4.6
Lush Ruins,South Africa,Africa,Nature,146.02,Winter,4.6
Grand Valley,USA,North America,City,207.44,Winter,4.9
Mystic Park,Kenya,Africa,Adventure,140.64,Winter,4.8
Sacred Plaza,Brazil,South America,Historical,151.64,Summer,4.4
Golden Park,New Zealand,Oceania,Historical,178.98,Spring,4.6
Mystic Ruins,South Africa,Africa,Nature,109.73,Autumn,4.7
Ancient Canyon,South Africa,Africa,Nature,158.42,Summer,4.9
Lush Park,New Zealand,Oceania,Historical,134.82,Autumn,3.9
Grand Ruins,Egypt,Africa,Adventure,43.91,Summer,4.3
Hidden Temple,Egypt,Africa,Nature,125.08,Autumn,4.8
Hidden Beach,Italy,Europe,Religious,192.03,Autumn,4.7
Lush Valley,Peru,South America,Historical,121.74,Spring,4.4
Lush Falls,Mexico,North America,City,230.77,Spring,4.4
Ancient Temple,Brazil,South America,Religious,74.08,Autumn,4.9
Sacred Falls,India,Asia,City,170.19,Autumn,4.5
Sacred Plaza,Italy,Europe,Nature,168.62,Winter,4.3
Serene Beach,Germany,Europe,Nature,126.77,Summer,4.6
Hidden Temple,Mexico,North America,Beach,129.9,Autumn,4.7
Ancient Beach,Brazil,South America,Historical,193.56,Autumn,4.1
Mystic Pagoda,Mexico,North America,Historical,53.19,Autumn,4.5
Crystal Valley,South Africa,Africa,Nature,175.7,Spring,4.6
Serene Temple,Argentina,South America,Beach,186.18,Autumn,4.7
Grand Forest,Morocco,Africa,City,170.49,Winter,4.4
Mystic Ruins,France,Europe,Religious,101.68,Summer,4.5
Crystal Canyon,Egypt,Africa,Beach,205.35,Winter,4.5
Serene Pagoda,Thailand,Asia,Adventure,162.65,Spring,4.5
Golden Forest,Argentina,South America,Religious,123.23,Autumn,4.5
Ancient Pagoda,Kenya,Africa,Historical,138.91,Spring,4.6
Crystal Canyon,Spain,Europe,Historical,175.66,Spring,4.4
Sacred Temple,Morocco,Africa,Religious,194.43,Spring,4.3
Mystic Beach,Italy,Europe,Nature,168.36,Autumn,5
Grand Plaza,Morocco,Africa,Adventure,55.74,Spring,4.4
Serene Falls,China,Asia,Religious,97.32,Summer,4.2
Hidden Forest,Mexico,North America,Religious,171.42,Autumn,4.8
Lush Ruins,Argentina,South America,City,144.78,Winter,4.4
Hidden Valley,Brazil,South America,Religious,154.16,Winter,4.4
Crystal Plaza,Mexico,North America,Historical,153.5,Winter,4.8
Lush Valley,Peru,South America,Historical,167.38,Spring,4.8
Serene Forest,Vietnam,Asia,Beach,198.76,Summer,4.7
Grand Beach,Greece,Europe,Religious,182.66,Autumn,5
Lush Ruins,Germany,Europe,City,117.3,Winter,4
Lush Falls,Peru,South America,Religious,194.29,Winter,4.6
Golden Pagoda,Morocco,Africa,City,230.61,Spring,4.9
Mystic Pagoda,Brazil,South America,City,99.28,Winter,4.7
Grand Plaza,Spain,Europe,City,137.7,Autumn,4.2
Serene Falls,Vietnam,Asia,Adventure,171.21,Summer,4.5
Golden Temple,France,Europe,Historical,152.18,Winter,5
Ancient Plaza,Mexico,North America,Religious,144.72,Spring,4.4
Golden Canyon,Australia,Oceania,Nature,119.41,Spring,4.5
Mystic Falls,Argentina,South America,Adventure,138.99,Spring,3.9
Grand Beach,Vietnam,Asia,Historical,74.76,Winter,4.7
Golden Park,Mexico,North America,City,139.75,Winter,4.5
Golden Plaza,Australia,Oceania,City,134.54,Summer,4.3
Golden Valley,Morocco,Africa,Historical,174.01,Summer,5
Grand Pagoda,Morocco,Africa,Beach,141.99,Summer,4.7
Mystic Temple,China,Asia,Beach,105.69,Spring,4.6
Ancient Forest,Kenya,Africa,Religious,203.8,Summer,4.5
Ancient Forest,Brazil,South America,Nature,130.04,Winter,4.3
Ancient Pagoda,Egypt,Africa,Beach,59.84,Spring,4
Sacred Temple,Canada,North America,Nature,188.6,Winter,5
Golden Forest,Japan,Asia,Religious,125.85,Autumn,4.5
Golden Beach,Vietnam,Asia,City,157.24,Autumn,4.3
Lush Ruins,Kenya,Africa,Beach,136.57,Summer,4.2
Ancient Canyon,Spain,Europe,Nature,105.59,Summer,4.4
Crystal Canyon,Morocco,Africa,City,143.44,Autumn,4.5
Golden Canyon,India,Asia,Beach,175.6,Summer,4.4
Ancient Valley,Japan,Asia,Religious,95.48,Spring,4.9
Mystic Falls,Italy,Europe,Beach,160.34,Winter,4.7
Ancient Falls,Japan,Asia,Adventure,119.38,Spring,4.6
Lush Canyon,Peru,South America,City,152.92,Summer,4.3
Mystic Valley,China,Asia,Religious,148.34,Autumn,4.4
Mystic Valley,Germany,Europe,Religious,283.91,Summer,4.4
Lush Ruins,Thailand,Asia,Nature,157.99,Autumn,4.2
Mystic Pagoda,Egypt,Africa,Adventure,192.77,Spring,4.9
Ancient Canyon,Vietnam,Asia,Beach,117.69,Autumn,5
Sacred Park,Morocco,Africa,Historical,102.81,Summer,4.2
Ancient Plaza,South Africa,Africa,City,219.62,Spring,4.4
Grand Ruins,Kenya,Africa,Religious,59.03,Winter,4.3
Mystic Forest,New Zealand,Oceania,Nature,215.22,Summer,4
Lush Falls,Vietnam,Asia,Adventure,100.66,Winter,4.9
Serene Forest,Mexico,North America,Historical,94.71,Spring,4.4
Ancient Pagoda,Morocco,Africa,Adventure,101.78,Autumn,4.4
Lush Pagoda,India,Asia,Nature,215.52,Autumn,4.9
Golden Valley,Peru,South America,Beach,142.47,Autumn,4.3
Golden Valley,China,Asia,Adventure,198.24,Summer,5
Sacred Temple,Egypt,Africa,Nature,244.57,Spring,4.4
Hidden Beach,Morocco,Africa,Religious,126.31,Autumn,4.5
Lush Falls,Mexico,North America,Adventure,144.89,Spring,4.6
Serene Beach,India,Asia,Beach,145.58,Summer,4.4
Hidden Valley,Peru,South America,Historical,59.81,Spring,4.4
Grand Valley,Italy,Europe,City,184.85,Autumn,4.4
Grand Temple,Brazil,South America,Nature,73.02,Winter,4.1
Grand Beach,India,Asia,City,90.3,Spring,4.5
Lush Pagoda,Morocco,Africa,Religious,228.64,Summer,4.6
Golden Forest,Kenya,Africa,Nature,59.95,Winter,4.3
Lush Forest,Italy,Europe,Nature,86.93,Autumn,4.2
Mystic Valley,USA,North America,Religious,51.04,Winter,4.7
Grand Plaza,China,Asia,Religious,141.41,Spring,4.2
Hidden Canyon,Egypt,Africa,Religious,30,Winter,4.4
Sacred Canyon,India,Asia,City,164.59,Winter,4.8
Crystal Falls,New Zealand,Oceania,Historical,88.52,Winter,4.6
Hidden Valley,Kenya,Africa,City,148.49,Winter,4.3
Grand Forest,Japan,Asia,Nature,162.69,Autumn,4.6
Golden Plaza,Argentina,South America,Adventure,131.91,Summer,4.6
Mystic Canyon,Germany,Europe,Beach,181.08,Summer,4.4
Crystal Temple,Kenya,Africa,Historical,143.77,Winter,4.1
Ancient Park,New Zealand,Oceania,Beach,206.3,Spring,4.5
Sacred Plaza,Kenya,Africa,Religious,77.6,Winter,4.2
Golden Plaza,Mexico,North America,Nature,120.22,Spring,4.9
Golden Beach,China,Asia,Adventure,285.8,Spring,4.4
Hidden Park,Brazil,South America,City,147.26,Autumn,4.6
Serene Canyon,New Zealand,Oceania,Religious,170.73,Winter,4.9
Mystic Forest,India,Asia,City,140.13,Summer,4.5
Sacred Canyon,Greece,Europe,Adventure,208.29,Summer,4.4
Lush Ruins,Germany,Europe,City,179.68,Spring,3.6
Crystal Pagoda,Italy,Europe,City,247.85,Spring,4.4
Hidden Forest,South Africa,Africa,Nature,111.36,Spring,4.6
Mystic Plaza,Mexico,North America,City,207.27,Summer,4.3
Serene Temple,New Zealand,Oceania,Nature,197.66,Autumn,4.7
Serene Park,Kenya,Africa,Historical,175.75,Spring,4.7
Hidden Pagoda,Australia,Oceania,Adventure,190.02,Summer,4.7
Hidden Plaza,Mexico,North America,Religious,179.23,Winter,4.6
Crystal Beach,Greece,Europe,Adventure,148.67,Spring,4.2
Crystal Temple,Australia,Oceania,Historical,67.99,Autumn,4
Mystic Forest,Peru,South America,Nature,110.38,Summer,4.4
Serene Plaza,New Zealand,Oceania,Beach,151.51,Summer,4.7
Ancient Ruins,Greece,Europe,City,150.06,Autumn,4.3
Ancient Beach,France,Europe,Adventure,141.04,Spring,4.5
Serene Canyon,USA,North America,Historical,69.62,Summer,4.3
Grand Falls,Thailand,Asia,Adventure,193.65,Autumn,4.3
Ancient Park,France,Europe,Adventure,191.47,Summer,4.4
Sacred Valley,Italy,Europe,Religious,72.96,Summer,4.5
Crystal Pagoda,Argentina,South America,Religious,153,Spring,4.6
Sacred Temple,China,Asia,Adventure,107.27,Summer,4.6
Sacred Canyon,Germany,Europe,Religious,30,Autumn,4.6
Hidden Beach,Morocco,Africa,City,117.55,Spring,4.6
Golden Park,New Zealand,Oceania,Nature,190.36,Winter,4.2
Hidden Temple,Egypt,Africa,Adventure,161.83,Summer,4.9
Serene Park,Thailand,Asia,Religious,169.62,Winter,4.3
Golden Forest,Brazil,South America,City,58.33,Summer,4.5
Ancient Canyon,India,Asia,Religious,123.8,Summer,4.5
Hidden Ruins,Greece,Europe,City,118.69,Autumn,4.5
Ancient Temple,Kenya,Africa,Religious,133.61,Winter,4.5
Crystal Park,Peru,South America,Adventure,107.08,Autumn,4.8
Grand Ruins,Germany,Europe,Nature,82.71,Spring,4.3
Grand Canyon,France,Europe,Historical,201.37,Winter,4.3
Lush Pagoda,Japan,Asia,City,192.54,Spring,4.5
Mystic Park,Japan,Asia,Historical,146.72,Autumn,5
Serene Canyon,Spain,Europe,Historical,221.14,Winter,4.8
Sacred Beach,Morocco,Africa,Beach,176.11,Summer,4.3
Serene Beach,South Africa,Africa,Nature,154.43,Autumn,4.6
Mystic Falls,New Zealand,Oceania,Historical,160.17,Autumn,4.4
Sacred Forest,China,Asia,City,143.03,Spring,4.4
Serene Park,Spain,Europe,Adventure,30,Spring,4.5
Mystic Park,Kenya,Africa,City,122.47,Winter,4.1
Lush Falls,South Africa,Africa,Religious,211.76,Winter,4.4
Crystal Falls,Italy,Europe,City,181.11,Autumn,4.2
Hidden Plaza,Mexico,North America,Beach,136.35,Winter,4.6
Hidden Valley,Vietnam,Asia,Adventure,72.31,Summer,4.7
Crystal Park,Australia,Oceania,Religious,213.73,Spring,4.7
Grand Falls,New Zealand,Oceania,Nature,90.53,Winter,5
Grand Temple,South Africa,Africa,Religious,159.61,Summer,4.5
Hidden Pagoda,Australia,Oceania,Adventure,122.79,Spring,4.5
Mystic Pagoda,Vietnam,Asia,Nature,62.81,Summer,4.5
Crystal Temple,USA,North America,City,138.57,Summer,4.2
Ancient Temple,Germany,Europe,City,188.95,Winter,3.8
Lush Pagoda,Thailand,Asia,Historical,149.04,Summer,4.4
Grand Beach,Canada,North America,Nature,250.9,Winter,4.6
Mystic Ruins,Mexico,North America,Beach,185.77,Winter,4.7
Mystic Beach,Morocco,Africa,Nature,138.12,Summer,4.6
Grand Park,USA,North America,Historical,155.09,Winter,5
Crystal Valley,South Africa,Africa,Religious,199.43,Summer,4.1
Mystic Temple,Canada,North America,Adventure,158.67,Autumn,4.6
Mystic Park,Thailand,Asia,Nature,36.33,Winter,4.2
Hidden Pagoda,Kenya,Africa,Nature,144.84,Spring,4
Grand Ruins,Egypt,Africa,Nature,115.25,Summer,4.5
Sacred Plaza,Greece,Europe,Beach,151.04,Winter,4.6
Golden Forest,Germany,Europe,Nature,139.71,Summer,4.3
Mystic Park,Australia,Oceania,Beach,131.24,Summer,4.4
Hidden Beach,New Zealand,Oceania,Beach,169.66,Autumn,4.9
Lush Plaza,Australia,Oceania,Adventure,174.91,Winter,4.8
Crystal Pagoda,Japan,Asia,Nature,91.5,Summer,4.8
Sacred Plaza,Mexico,North America,Beach,138.3,Spring,4.6
Golden Park,Brazil,South America,City,166.5,Summer,4.7
Serene Falls,Australia,Oceania,Beach,108.24,Summer,5
Crystal Canyon,Thailand,Asia,Historical,151.89,Summer,4.7
Grand Temple,New Zealand,Oceania,Adventure,251.18,Spring,4.5
Sacred Forest,Thailand,Asia,Nature,192.08,Autumn,4.3
Grand Ruins,Vietnam,Asia,Historical,39.41,Spring,5
Mystic Valley,Kenya,Africa,Beach,139.96,Winter,4.1
Sacred Park,Canada,North America,Nature,128.54,Autumn,4.7
Golden Valley,Kenya,Africa,Religious,152.4,Summer,4.6
Crystal Temple,Germany,Europe,Adventure,251.22,Autumn,4.1
Grand Park,Japan,Asia,Beach,158.14,Summer,4.5
Golden Ruins,Morocco,Africa,Nature,171.29,Spring,4.5
Sacred Canyon,Morocco,Africa,Adventure,145.76,Autumn,4.1
Golden Falls,Canada,North America,Beach,185.99,Winter,4.1
Ancient Canyon,Mexico,North America,Religious,161.61,Summer,4.1
Serene Forest,China,Asia,Historical,134.35,Autumn,4.5
Sacred Canyon,France,Europe,Religious,180.92,Summer,4.4
Crystal Temple,New Zealand,Oceania,Nature,87.48,Spring,4.7
Golden Canyon,Egypt,Africa,City,173.48,Autumn,4.7
Sacred Canyon,USA,North America,Adventure,128.16,Summer,4.5
Crystal Pagoda,Peru,South America,Beach,110.19,Spring,4.6
Hidden Pagoda,China,Asia,Nature,187.21,Autumn,4.4
Crystal Valley,Kenya,Africa,Adventure,82.79,Summer,4
Serene Falls,China,Asia,Religious,56.67,Winter,4.8
Crystal Temple,Thailand,Asia,Historical,170.32,Summer,4
Hidden Valley,Argentina,South America,Beach,89.44,Autumn,4.7
Serene Park,New Zealand,Oceania,City,73.69,Autumn,4.5
Serene Temple,Brazil,South America,City,129.65,Winter,4.7
Serene Park,Mexico,North America,Historical,72.99,Winter,5
Ancient Pagoda,Japan,Asia,City,230.86,Summer,4.5
Hidden Park,Egypt,Africa,Beach,188.96,Summer,4.4
Sacred Canyon,Peru,South America,Adventure,140.54,Spring,4.8
Grand Pagoda,China,Asia,City,131.96,Winter,3.5
Mystic Pagoda,New Zealand,Oceania,Beach,87.38,Spring,4.6
Golden Beach,Greece,Europe,Religious,131.69,Autumn,4.6
Hidden Falls,Kenya,Africa,City,30,Autumn,4.6
Serene Canyon,Egypt,Africa,Historical,126.07,Winter,4.8
Lush Plaza,Vietnam,Asia,Nature,184.01,Spring,4.9
Grand Canyon,Canada,North America,Adventure,155.47,Spring,4.8
Serene Valley,India,Asia,City,124.79,Winter,4.5
Serene Ruins,Brazil,South America,City,184.51,Autumn,3.7
Lush Ruins,Germany,Europe,Adventure,95.64,Summer,4.2
Crystal Canyon,Morocco,Africa,Nature,210.87,Spring,4.7
Mystic Beach,New Zealand,Oceania,Nature,63.71,Summer,4.3
Ancient Pagoda,Canada,North America,Historical,193.18,Autumn,4.7
Sacred Canyon,Peru,South America,Historical,189.17,Spring,4.4
Serene Park,Japan,Asia,Beach,222.99,Autumn,4
Crystal Falls,South Africa,Africa,Religious,154.27,Winter,4.3
Lush Valley,Peru,South America,Religious,174.02,Autumn,4.3
Mystic Ruins,China,Asia,Nature,182.52,Spring,4
Grand Valley,Morocco,Africa,Historical,198.52,Autumn,4.7
Hidden Canyon,Spain,Europe,City,249.78,Spring,5
Lush Falls,Brazil,South America,Nature,204.1,Autumn,4.8
Mystic Beach,South Africa,Africa,Nature,161.5,Autumn,4.6
Ancient Temple,Germany,Europe,Religious,128.87,Winter,4.7
Lush Forest,USA,North America,Adventure,122.08,Summer,4.2
Ancient Valley,Italy,Europe,Beach,202.91,Autumn,4.8
Grand Canyon,Brazil,South America,Nature,149.72,Winter,4.7
Mystic Ruins,Mexico,North America,City,172.71,Spring,4.3
Hidden Falls,Australia,Oceania,City,135.3,Summer,4.5
Mystic Forest,Vietnam,Asia,Adventure,146.99,Spring,4.6
Grand Forest,USA,North America,Nature,194.52,Autumn,4.7
Lush Forest,Morocco,Africa,Religious,240.96,Spring,4.5
Grand Canyon,Mexico,North America,Beach,174.6,Autumn,4.3
Mystic Falls,Germany,Europe,Historical,100.18,Summer,4.4
Lush Pagoda,Argentina,South America,Adventure,126.06,Summer,4.2
Serene Beach,Argentina,South America,Beach,168.83,Autumn,4.7
Sacred Plaza,New Zealand,Oceania,Historical,184.18,Winter,4.1
Grand Plaza,China,Asia,City,153.49,Winter,4.3
Serene Forest,Mexico,North America,Historical,98.53,Summer,4.1
Sacred Canyon,Egypt,Africa,Religious,210.89,Spring,4.2
Crystal Valley,Thailand,Asia,City,123.21,Summer,4
Lush Temple,Morocco,Africa,Adventure,128.39,Autumn,4.5
Sacred Beach,Peru,South America,Beach,158,Winter,4.7
Lush Beach,USA,North America,Beach,90.73,Spring,4.7
Serene Falls,Mexico,North America,Beach,129.33,Winter,4.6
Lush Beach,Thailand,Asia,Historical,124.65,Autumn,4
Grand Valley,Peru,South America,Beach,151.64,Winter,4.3
Crystal Plaza,New Zealand,Oceania,Adventure,225.68,Winter,4.3
Lush Temple,France,Europe,Beach,57.69,Winter,4.2
Ancient Forest,Italy,Europe,City,108.57,Autumn,4.3
Crystal Falls,Kenya,Africa,City,103.91,Autumn,4.2
Sacred Forest,USA,North America,Religious,154.38,Summer,4.6
Serene Falls,Greece,Europe,Historical,122.67,Autumn,4.4
Serene Plaza,Italy,Europe,Religious,224.93,Winter,4.9
Ancient Plaza,Peru,South America,Beach,190.57,Winter,4.2
Lush Park,Mexico,North America,Beach,71.25,Summer,4.8
Lush Valley,Germany,Europe,Historical,200.88,Summer,4.6
Golden Beach,Kenya,Africa,Nature,139.25,Spring,4.6
Ancient Ruins,Japan,Asia,Religious,202.37,Winter,4.9
Hidden Pagoda,Vietnam,Asia,City,152.19,Spring,4.4
